Year,State,CO2(Metric Tons)
1993,Mississippi,3349771.3333333335
1993,Missouri,9598421.777777778
1993,Montana,3785497.75
1993,Nebraska,5708728.363636363
1993,Nevada,4547394.75
1993,New Hampshire,848446.3636363636
1993,New Jersey,2310022.5714285714
1993,New Mexico,5584844.4
1993,New York,6917762.322580645
1993,North Carolina,9174134.666666666
1993,North Dakota,8698983.714285715
1993,Ohio,19794506.166666668
1993,Oklahoma,7655272.7272727275
1993,Oregon,819513.2173913043
1993,Pennsylvania,12821676.228571428
1993,Rhode Island,458633.8947368421
1993,South Carolina,5862984.888888889
1993,South Dakota,1407245.5
1993,Tennessee,12243475.0
1993,Texas,29301660.258064516
1993,Utah,6461903.578947368
1993,Vermont,7311.0
1993,Virginia,5931062.88
1993,Washington,1591814.7142857143
1993,West Virginia,13055707.42857143
1993,Wisconsin,5435108.137931035
1993,Wyoming,10457423.25
1994,Alabama,11007869.043478262
1994,Alaska,747427.4545454546
1994,Arizona,7094378.181818182
1994,Arkansas,4829552.8
1994,California,6729636.864864865
1994,Colorado,5884700.0
1994,Connecticut,1480030.608695652
1994,Delaware,2483590.8571428573
1994,District of Columbia,311401.0
1994,Florida,14357741.379310345
1994,Georgia,9928171.703703703
1994,Hawaii,1874670.1176470588
1994,Idaho,207040.3076923077
1994,Illinois,9380521.935483871
1994,Indiana,18090559.304347824
1994,Iowa,4673481.142857143
1994,Kansas,9357397.23076923
1994,Kentucky,37748543.0
1994,Louisiana,8634445.913043479
1994,Maine,760519.36
1994,Maryland,4725163.2
1994,Massachusetts,3224612.3870967743
1994,Michigan,10030901.866666667
1994,Minnesota,4999553.925925926
1994,Mississippi,3406082.4444444445
1994,Missouri,12675213.75
1994,Montana,4473951.75
1994,Nebraska,5491044.0
1994,Nevada,4625296.94117647
1994,New Hampshire,805778.0869565217
1994,New Jersey,2677680.4285714286
1994,New Mexico,5785962.6
1994,New York,6890833.548387097
1994,North Carolina,7565386.8
1994,North Dakota,10134581.0
1994,Ohio,16942137.62962963
1994,Oklahoma,7477040.363636363
1994,Oregon,1131535.8095238095
1994,Pennsylvania,12737615.88235294
1994,Rhode Island,463772.6
1994,South Carolina,6027914.222222222
1994,South Dakota,1236917.6
1994,Tennessee,11045803.4
1994,Texas,28633687.096774194
1994,Utah,6653612.421052632
1994,Vermont,7015.333333333333
1994,Virginia,5038286.714285715
1994,Washington,1883809.3333333333
1994,West Virginia,12955872.347826088
1994,Wisconsin,5215292.25
1994,Wyoming,10408268.0
1995,Alabama,8857504.387096774
1995,Alaska,712403.1304347826
1995,Arizona,6061605.818181818
1995,Arkansas,4313373.666666667
1995,California,4189396.25
1995,Colorado,5263210.24
1995,Connecticut,1390713.4285714286
1995,Delaware,2023376.5
1995,District of Columbia,148478.66666666666
1995,Florida,10090496.095238095
1995,Georgia,9252298.193548387
1995,Hawaii,1391685.5
1995,Idaho,186843.75
1995,Illinois,7753989.578947368
1995,Indiana,15117991.42857143
1995,Iowa,4491934.838709678
1995,Kansas,8998329.538461538
1995,Kentucky,28328048.363636363
1995,Louisiana,6435492.125
1995,Maine,559820.8
1995,Maryland,3461265.5757575757
1995,Massachusetts,2582557.2972972975
1995,Michigan,7517315.5
1995,Minnesota,4242544.5
1995,Mississippi,3319094.0
1995,Missouri,11900683.578947369
1995,Montana,3370617.6
